quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
210089801,MKM.047,Markham Gents,AW21S,Automatic,S,12,"9,800",83,2,76,40,0,5,248,285,Normal Wash Soft,28,107,68,134,267,-26,-69,160,1,N
210086301,AH6800,Lacoste Gents SPW,AW21N,Automatic,C,12,"5,398",83,2,86,39,3,5,409,378,Normal Wash Soft,28,339,248,339,825,23,187,486,4,Y
210130902,MERCERISED COTTON,Spitz Gents,SS21S,Automatic,S,12,"1,501",83,3,51,35,6,5,315,0,Piece Dye Cotton,130,164,71,208,544,16,85,380,4,Y
210079204,MKM.045,Markham Gents,AW21S,Hand Flat,S,12,"10,000",95,1,110,34,0,5,244,280,Normal Wash Soft,28,147,107,187,287,-26,-75,140,1,N
210102703,CHRISSY,Cape Union Mart Old Khaki Ladies,SS21S,Automatic,M,3.5,500,83,3,50,40,3,5,853,742,Piece Dye Cotton,130,317,163,340,664,6,37,346,4,Y
210144601,EP0943,Rodd & Gunn N Gents,AW21N,Automatic,M,7,896,83,5,62,34,3,5,446,415,Heavy Garment Wash,40,484,373,484,"1,310",22,286,826,8,Y
210081602,VINAY- Pocket,Cape Union Mart Old Khaki Gents,AW21S,Automatic,S,5,"3,001",83,2,76,37,8,5,755,,Normal Wash Soft,28,269,198,283,576,7,43,307,2,Y
210107101,21PL3 / 21PL7,Mr Blue Gents,SS21N,Hand Flat,S,12,"1,300",90,2,72,34,4,5,279,260,Normal Wash Std,10,165,129,190,480,19,90,316,3,Y
210107401,21PUL13,Mr Blue Gents,SS21N,Hand Flat,S,12,500,90,3,63,27,3,6,297,305,Normal Wash Std,10,125,90,143,338,-25,-85,213,2,N
210157501,H21 091,Devred SAS Gents,AW21N,Automatic,S,14,908,83,5,55,54,8,5,260,242,Merino Liquid Stretch,35,365,294,365,672,-47,-318,307,3,N
210098601,JCAW21-14,John Craig (Pty) Ltd Gents,AW21S,Hand Flat,S,10,"1,501",95,2,55,32,8,5,406,0,Normal Wash Soft,28,188,122,212,455,9,41,268,3,Y
210109101,21PUL8,Mr Blue Gents,SS21N,Hand Flat,S,12,600,90,2,72,34,4,5,286,265,Normal Wash Std,10,166,132,191,477,18,84,311,3,Y
210109201,21PUL12,Mr Blue Gents,SS21N,Hand Flat,S,12,500,90,3,72,34,4,5,281,262,Normal Wash Std,10,171,130,197,490,-6,-28,319,3,N
